name,description,slug,categorySlug,price,stock,published,brandSlug,imageUrls,variantGroups
"Mavi Kahve Yapraklar Tablo","Doğanın dinginliğini evinize taşıyan zarif mavi ve kahverengi tonlarında yaprak desenli tablo.","mavi-kahve-yapraklar-tablo","kategoria",1200,30,true,"markaa","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329",
"Modern Sanat Kanvas","Minimal çizgilerle oluşturulmuş modern sanat eseri. Her odada dikkat çeken şık ve zarif bir seçim.","modern-sanat-kanvas","kategorib",950,25,true,"markab","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329",
"Vintage Şehir Manzarası","Nostaljik dokularla işlenmiş eski İstanbul manzarası. Vintage severlerin vazgeçilmezi.","vintage-sehir-manzarasi","kategorib",1500,15,true,"markac","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329",
"Doğa Serisi Tablolar","Doğanın dört mevsimini yansıtan özel koleksiyon. Evinize canlılık katacak.","doga-serisi-tablolar","kategorid",1800,20,true,"markaa","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329","Mevsim:İlkbahar,Yaz,Sonbahar,Kış;Boyut:Büyük,Orta,Küçük"
"Soyut Geometrik Desen","Geometrik şekillerin harmonisiyle oluşturulan soyut sanat eseri. Modern evlere uygun şık tasarım.","soyut-geometrik-desen","kategoria",1100,35,true,"markad","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329",
"Deniz Manzarası","Huzur veren masmavi deniz manzarası. Dinginliğiyle ferahlık katan tablo.","deniz-manzarasi","kategoric",1300,18,true,"markab","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329","Çerçeve:Ahşap,Metal,Siyah;Boyut:XL,L,M"
"El Yapımı Yağlı Boya Tablo","Profesyonel sanatçılar tarafından elle çizilmiş özel koleksiyon yağlı boya tablo.","el-yapimi-yagli-boya-tablo","kategorid",2200,10,true,"markac","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329","Tarz:Klasik,Modern,Vintage;Boyut:50x70,60x90,70x100"
"İskandinav Minimalist","İskandinav tarzının sadeliğini yansıtan minimalist çizgilerle oluşturulmuş dekoratif tablo.","iskandinavy-minimalist","kategoria",850,40,true,"markad","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329",
"Retro Poster Koleksiyonu","60'ların ve 70'lerin ruhunu taşıyan retro posterler. Nostaljik bir hava katacak.","retro-poster-koleksiyonu","kategorib",750,50,true,"markaa","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329","Desen:Rock,Film,Vintage;Çerçeve:Var,Yok"
"Botanik Serisi","Nadir bulunan bitki türlerinin detaylı çizimlerinden oluşan botanik serisi tablolar.","botanik-serisi","kategoric",1250,22,true,"markab","https://ideacdn.net/idea/cn/15/myassets/products/408/mavi-kahve-yapraklar.jpg?revision=1697143329","Bitki:Orkide,Sukulent,Kaktüs,Palmiye;Renk:Yeşil,Pembe,Mavi" 
